Concepto;2020pr;2020pr;2020pr;2020pr;2021pr;2021pr
Concepto;I;II;III;IV;I;II
Agricultura, ganadería, caza, silvicultura y pesca;18,9;15,4;13,4;13,0;15,5;18,0
"Cultivos agrícolas transitorios; cultivos agrícolas permanentes; Propagación de plantas (actividades de viveros, excepto viveros forestales); actividades de apoyo a la agricultura y la ganadería, y posteriores a la cosecha, explotación mixta (agrícola y pecuaria) y caza ordinaria y mediante trampas y actividades de servicios conexas";24,2;18,3;14,9;14,7;14,2;19,1
Cultivo permanente de café;9,0;22,7;21,4;16,6;37,0;14,1
Ganadería;9,2;3,4;3,8;5,6;12,5;21,5
Silvicultura y extracción de madera;7,9;10,8;9,0;8,9;18,9;11,9
Pesca y acuicultura;33,1;34,0;34,5;28,9;0,6;-2,3
Explotación de minas y canteras;-11,4;-31,1;-29,9;-29,4;2,3;36,4
Extracción de carbón de piedra y lignito;-33,0;-44,2;-46,1;-48,8;-20,0;23,2
Extracción de petróleo crudo y gas natural y actividades de apoyo para la extracción de petróleo y de gas natural;-8,3;-35,0;-34,4;-34,5;2,2;40,8
Extracción de minerales metalíferos;37,4;60,8;68,4;73,5;43,9;40,5
Extracción de otras minas y canteras;-12,9;-30,3;-29,3;-26,2;-2,5;9,4
Actividades de apoyo para otras actividades de explotación de minas y canteras;-16,8;-34,7;-32,3;-30,9;1,9;37,2
"Elaboración de productos alimenticios; elaboración de bebidas; elaboración de productos de tabaco";8,8;1,6;1,2;2,4;6,4;12,4
"Procesamiento y conservación de carne y productos cárnicos de bovinos, bufalinos, porcinos y otras carnes n.c.p.; procesamiento y conservación de carne y productos cárnicos de aves de corral y procesamiento y conservación de pescados, crustáceos y moluscos";9,7;0,2;2,1;3,8;10,2;21,8
Elaboración de aceites y grasas de origen vegetal y animal;16,5;16,7;15,2;13,2;21,1;32,6
Elaboración de productos lácteos;6,8;6,5;4,6;4,8;4,2;0,7
"Elaboración de productos de molinería, almidones y productos derivados del almidón; elaboración de productos de panadería; elaboración de macarrones, fideos, alcuzcuz, y productos farináceos similares y elaboración de alimentos preparados para animales";18,2;15,4;12,8;11,3;3,1;3,0
Elaboración de productos de café;3,6;11,4;10,0;10,5;21,3;6,1
Elaboración de azúcar y elaboración de panela;9,8;8,4;5,2;9,0;-9,3;-9,9
Elaboración de cacao, chocolate y productos de confitería;13,5;-3,6;-4,4;-3,4;1,1;9,9
"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos; elaboración de otros productos alimenticios (platos preparados y conservados mediante enlatado o congelado, elaboración de sopas y caldos en estado sólidos, polvo o instantáneas entre otros)";9,8;8,5;6,6;6,8;8,9;5,4
Elaboración de bebidas (incluido el hielo) y elaboración de productos de tabaco;-0,1;-18,1;-16,2;-12,3;6,7;26,0
"Fabricación de productos textiles; confección de prendas de vestir; curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles ";-2,6;-29,8;-23,9;-17,2;18,9;60,5
"Preparación, hilatura, tejeduría y acabado de productos textiles; fabricación de otros productos textiles, Confección de prendas de vestir";-0,1;-27,8;-21,8;-15,1;19,2;60,6
"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles";-18,0;-42,7;-37,4;-31,4;15,9;59,2
"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería; fabricación de papel, cartón y productos de papel y de cartón; actividades de impresión; producción de copias a partir de grabaciones originales";4,1;-3,7;-4,4;-3,1;2,4;6,3
"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería";-2,8;-17,2;-9,2;-3,6;22,4;43,7
Fabricación de papel, cartón y productos de papel y de cartón;6,9;1,6;-0,8;-0,2;0,8;-0,9
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)";1,4;-8,8;-10,6;-10,3;-6,8;3,9
"Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles; fabricación de sustancias y productos químicos; fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico; fabricación de productos de caucho y de plástico; fabricación de otros productos minerales no metálicos";4,0;-13,5;-10,8;-7,9;10,4;28,1
Coquización, fabricación de productos de la refinación del petróleo y actividades de mezcla de combustibles;3,6;-24,6;-26,4;-25,7;1,5;32,4
"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias; fabricación de otros productos químicos; fabricación de fibras sintéticas y artificiales; fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico";6,2;0,5;2,3;4,3;11,7;15,2
Fabricación de productos de caucho y de plástico;-0,2;-8,7;-6,2;-2,9;18,4;28,9
Fabricación de otros productos minerales no metálicos;3,0;-19,5;-10,2;-3,3;16,5;43,5
